userName,score,at,content
Wira Sucitra Ibrahim,5,2021-09-27 06:40:30,Simple and easy..
swag,1,2021-09-17 01:23:37,can't even make a working apps smh
Satata Widada,5,2021-09-22 20:57:14,Simple and usefull
Agus Sofiyan Hidayat,1,2021-10-05 07:26:03,"Ketika akan daftaf ,Internal server error"
Dinas PRKP,1,2021-10-05 05:46:05,Error server everytime
Ahyan Haeruddin,1,2021-10-06 08:33:19,"Useless, i had been vaccinate at 16 august 2021 .but i didnt receive my vaccine ceritificate until now"
Bayu Ahmad,3,2021-09-24 10:53:04,Selalu force close di hp redmi note 5 pro.tolong diperbaiki kominfo
Ranti Puspita,2,2021-09-20 09:14:58,Terkadang tidak mau check in maupun check out.
Ririn,1,2021-09-23 22:23:27,Drain my battery so much! It's annoying!
Rick,1,2021-09-26 18:22:00,Can you make this app name's batter? It's to long and many problem here..
theHKpipeguy,1,2021-09-25 09:43:56,No English version.... it's useless
otong wp,2,2021-10-05 00:06:03,"Difficult to receive Vaccination Certificate, and I have had sent an email to ask how to get it."
dimas cahya,4,2021-09-29 07:49:34,Keeps stopping on my redmi note 8 pro
Evasofie jocom,3,2021-10-05 05:41:22,I can't update my profile from my phone. i can't upload my picture. i can't open my vaccinations certificate. Please help me with my certificate 2nd dose?
Damar Lintang,1,2021-09-26 03:30:16,this app is bad i want to register but it keeps failing i hate it
fajar wahid alim,4,2021-09-26 06:27:08,kenapa gak bisa scan barcode ?
Ghost _,1,2021-10-05 07:26:17,"Banyak bug, not recommended"
Rangga Aji Pamungkas,1,2021-09-22 23:47:42,"Worst app. Drain too much battery, private information leak, yet they're still dare to claim this is state-owned app 💀💀💀"
sesilia ina,5,2021-09-30 22:13:55,So simple and helpful
Indriatmojo Budi Martono,3,2021-09-27 11:59:19,payment should be proceed upon the finished of the order and with the authorization from the user
Vladimir Pangemanan,1,2021-09-25 05:42:22,Keep asking for permission all the time... So annoying...
Ahmad Syahrial,1,2021-09-27 22:41:47,activate your location all the time... seirously..!!
Noval Ahmad,1,2021-10-02 08:31:58,"This app is really broken, barely even works"
Randy Chandra,1,2021-09-19 11:46:52,"Otp susah, error location, hang"
ibrahim utomo,1,2021-09-23 06:06:19,didnt work very often
Yudhi Sucahyo,1,2021-09-28 08:18:12,Date of birth is difficult to input
Renier Wirmeyn,1,2021-10-01 17:02:35,"Useless, error everytime, trash"
Krishna Kastubi,1,2021-09-15 05:22:55,Location permission tidak bisa only when use.
Z M,1,2021-09-27 09:02:36,My vaccin certificate doesn't appear even it's almost 2 weeks from my vaacinating day
Nala Saka,1,2021-10-03 12:57:17,please fix the app. it's just so bad that i ran out of words on how to tell you how bad it is.
Tjang Kuang Yen,5,2021-09-25 08:22:28,"good ..very easy to used..chekin , out .."
True Monkey,1,2021-09-20 23:12:33,Not working at all not allowing me to login
Lisa Nainggolan,2,2021-09-16 06:28:16,This app doesn't show all my certificates even though I'm fully vaccinated
Tanjung P Kusuma,1,2021-10-13 11:14:07,asking location access all the time is stupid
Soulzz Kumshin,1,2021-10-01 00:39:13,filling date of birth not easy
novita kurniawan,1,2021-10-08 13:55:46,The certificate didnt show up... Dunno why??!!!
Ahmad Munajad,1,2021-09-23 09:58:36,"Need many permission, draining battery"
Devina Febriani,1,2021-10-05 11:17:43,"Nik cant be empty..... all the time, though i have submit the right nik"
Ray,5,2021-09-14 04:17:06,"Good Job, Hopefully Indonesia will be enter the New Normal safely."
Alexis Alfroy,1,2021-09-16 00:05:39,My puskesmas registered me using my kitas number and the app won't let me register my vaccination. Please assist in solving this matter 🙏🏻
Herma JUNTAK,1,2021-09-26 09:45:29,Error result even I tried to fill my NIK or phone number correctly.
Surya Susanto,1,2021-09-25 01:21:55,Aplikasi tersampah yang pernah ada. LBP is incompetent to produce proper app
Muharba Insyani,1,2021-09-15 07:08:51,"Worst app. Please fix it. I can't check my certif, in other case i'd done"
Ar S,1,2021-10-06 05:01:19,Ga bisa daftar.. internal server mulu
Khakid Jarkasi Banjar,1,2021-09-18 08:03:13,Doesn't work properly
Agus Arisandi,1,2021-10-09 22:27:39,"Silly apps, the date setting is wasting tume"
alit yogantara,3,2021-10-01 12:48:08,Good ui but too much icon
A Najib N,1,2021-09-21 11:34:16,my phone battery drained so fast.
Yakka,1,2021-09-15 02:13:52,Bru stop using my location and running in the background
Livia Iskandar,2,2021-10-11 12:13:58,Suddenly my covid test results cant be shown!
wel nuwel,1,2021-09-15 10:16:52,How do i get my vaccine certificate if i can't register on this app ? I never received verification code ! How's this possible ? Am i not allowed to do my activity without vaccine sertificate ?
Pascal Michaelis,1,2021-09-18 07:25:55,Battery consumption too high
Jibril At Thariq J.A.T,5,2021-09-21 01:04:08,Its a very nice application for me and my vaccine sertificate already had only 1 day after my vaccination dosses 1
yohana adventa,1,2021-09-28 11:00:22,bug every menu
DP Budiarthi,2,2021-09-15 02:43:34,Slow loading and.many place proble
Wilda Fajriah,1,2021-10-07 10:50:57,"ı already vaccinated 2 times , but my status is not vaccinated at all and red. How ??!!"
Samuel,1,2021-09-23 09:34:45,tujuan akses gps harus all the time apa? allow only while using aja udah cukup kaliii
Oki O,1,2021-10-06 09:27:09,"Laggish, selalu crash"
Nizar Iwan,5,2021-09-17 13:16:39,Earlier its difficult to log in...now its done
SPuja Harseno,1,2021-10-04 13:23:40,Make battery drain fast
Indera Jip,3,2021-09-14 17:43:00,No option to submit my vaccine certificate from abroad. Please update.
Def Tyz,3,2021-09-28 06:45:16,Masih sering error gan
Meya Viem,3,2021-09-17 17:21:05,"No history of trip & data result test when my trip to Turkey 24 March 2021. Back to Indonesia, karantina at Wisma Atlit 2 April 2021 with 2 times swab. The other trip Jkt - Medan 28 May 2021, and Medan - Jakarta 30 May 2021."
Untung Surapati,5,2021-09-18 12:26:44,thanking you very much for a valuable information related to healthy lifestyle
Prahara Tea,1,2021-10-01 08:54:43,A lot of error while check in or check out
Ragillio Aji,1,2021-09-14 00:30:37,Full or errors
Eduard Vorobiev,1,2021-09-30 08:11:19,Purpose of this app is to deny entry to places of interest for unvaccinated. This app is discriminating and promotes segregation.
reza nugraha,1,2021-09-15 09:33:17,Lambat sekali loading appnya
arung febrian Cahyono,4,2021-10-11 04:31:00,vaksin certificate is not showing when I checked it.
Aul Shim,1,2021-09-30 08:37:11,Registration Failed all the time
Devi Saniyatun,3,2021-10-06 07:10:19,"Why don't I get a vaccine certificate, when the data I input is correct?"
Alwy Husein,1,2021-10-02 12:45:02,"This app is sucks, i can't even register account"
Yanuar Rifai,1,2021-10-03 22:43:53,Aplikasi gk guna. Error trus. Aduhhh
Nico Meizano,2,2021-10-09 05:28:45,Permission ga perlu all the time
Akhmad Gazali,1,2021-10-05 00:44:25,"idk what it is for other than to track everyone's location, lol"
Mrd Dahlan,5,2021-09-16 10:44:13,Technically good and very helpful
Dasdo Purba,1,2021-10-04 05:39:16,"Broken server, always down evrytime !"
Michael Patrick,1,2021-10-01 12:32:06,"I cannot register, so annoying"
M. Komaruddin,2,2021-09-20 09:56:32,Sertifikat dan data ga Update.
Endra Rusmawan,1,2021-10-04 17:19:14,It won't match between nik and name tried 5 times
aulia fariz,5,2021-09-16 13:09:16,Thanks for guidance.. keep it up
AJS,1,2021-09-18 11:27:29,Other people are appearing in my account. Unable to delete the names.
Garin metropolis,1,2021-09-20 05:44:41,"My battery crying serve this app, asking GPS all the time"
Aditya Porsiana,1,2021-10-03 23:18:36,My dad vaccine certificate are not showed up. Its been 4 month since the second dose
Calvin adrian wahyu Permana,1,2021-10-13 01:25:44,"Stuck di tanggal lahir ?? Sudah uninstall ,restart kagak bisa ,hello !!!!!@-#%"
biya 0996,1,2021-09-16 04:57:07,THIS APP REALLY BAD! ALWAYS REQ UPDATE AND SOMETIME BUG! HATE IT
Bismillahirrahmanirrahiim Headshot,1,2021-09-22 03:01:52,"Mohon isi Tanggal lahir terlebih dahulu. Di klik > ETERNAL LOOPING !! Still Beta but has been forced to released, trash !!!"
Budi Santoso,4,2021-09-18 23:43:35,helpful for giving such important information related to pandemic area.
ghea prameswari,2,2021-09-23 04:19:12,"this app, always asking permission eventhough i already did it"
Timothy Simatupang,4,2021-09-27 10:19:36,"Already good, but need some improvement"
Riri Marly,1,2021-10-04 04:55:01,Can not update data
Alfred Kompudu,5,2021-10-10 23:38:17,Good Apps for your healthy.
38. Putu Marissa Pramesti Ananda,5,2021-09-24 12:03:59,"It's a very useful app, i can track my vaccination and pls ignore the 1 star rating comments they are troll that tried to get the app deleted smh."
Mega Pratama,5,2021-09-26 14:46:06,Bug in many places
Julie kasson,5,2021-10-11 02:55:19,Good experience n Everything so easy n helpfull.
kirana kurniawan,1,2021-09-26 06:36:18,Horrible cant even log in
Adiet Verino Akbar,1,2021-10-02 02:04:55,Internet server error mulu mau daftar
Nuriyah Nury,3,2021-09-20 07:06:10,"I can't login, and I don't get the code from the email or sms"
agung wibowo,4,2021-10-09 10:41:46,Why some of my swab antigen test was not on line in this aplication ? We suggest that all the hospitals and clinics should be on line with Peduli Lindungi
Ancient Wanderer,1,2021-10-02 03:28:09,why i couldn't register here? it always said register failed
My Stitchid,3,2021-09-16 01:37:34,"Can't fill in my birthday..... It's such a waste program.... Or somebody already used my NIK, not sure about this"
Endgamefond,1,2021-10-09 09:36:52,I notice it doesn't really help.
Itok Isnaini,1,2021-10-04 05:32:31,sulit input data
Altersky Penguin,1,2021-10-02 02:10:01,Internal server error teross
Ahmad Fauzy Al Ghozali,1,2021-10-02 04:43:35,Internal server error.
noobby,1,2021-09-29 10:03:44,"Ini app apaan sih, kok bisa tranding no.1!? App Pinjol ya?"
Sulman Tumanggor,1,2021-09-17 04:06:42,Input data harus berulang² tidak use frienly
Arvy Larope,2,2021-09-23 10:14:23,I always have to enter NIK and Name everytime I need to check my vaccination certificate.
yohana indriaswari,5,2021-09-28 01:49:03,"very helpful and i think it's recommended app, thank you"
Julio de Leon,1,2021-09-16 06:27:50,I can't complete to login
Miladdiena Rani,1,2021-09-30 17:27:30,The regulation is bothersome now that it has been mandatory to have this app installed when we go to public places
Ippikiy,1,2021-10-01 12:36:29,Bug bug bug bug bug 😊
Mariam Siti,1,2021-10-03 17:09:57,"I can't type many times in the coloum of my birth date, this is really ridiculous...."
Yusi Amalia,3,2021-09-26 23:41:53,I dont understand why I can not put my photo profile?...
Susanto Wibisono Koselan,2,2021-10-07 00:34:03,The apps consume too much power
Edric Wijaya,3,2021-10-01 03:42:49,Lagging when check in
Ngurah Darmada,1,2021-09-30 04:53:40,This app is suck! I can't even create an account!
Lily Kardinanto,1,2021-09-30 14:06:22,"Real representation of ""I rarely test my code. When I do, I do it on production. """
Reza Dwiky Prayogo,1,2021-09-16 14:23:50,Stop forcing us changing the location to always on
Samuel Yanuar,1,2021-09-17 10:39:34,I can't even access my vaccine certificate to print the hard copy
Ted Sie,1,2021-09-19 16:47:17,Battery Eater :( Make Phone Hot like summer
Jani Angdika,2,2021-09-17 12:37:35,"I already got vaccine, and had certificate vaccine, but it is not in the system now."
Ori Deus,1,2021-09-29 12:11:38,Can not complete my profile and haven't received date on 2nd vaccine
Erwin Purwiyatno,1,2021-09-26 20:23:04,Residence Memory Application in RAM
khusna fauzi,5,2021-09-15 21:36:14,every detail is great
Andita Dewi,5,2021-09-15 02:39:40,Very good app. Easy to use 👍
Widy Diharta,1,2021-09-30 04:30:00,Too many bugs in this app
Yasin Aprian,1,2021-10-13 01:16:07,Bad app too many bug
Rahmat Junaedi,1,2021-10-02 04:46:35,Internal server error
Daffa Satya Fadhilah,1,2021-09-29 08:22:59,always bugs all the time huft
Adrie,1,2021-09-21 23:40:46,Foreign vaccination certificate is not supported by this app even it has been submitted for verification. Should have been integrated within the app to verify.
릇투rstu,1,2021-09-14 06:03:46,not working properly
M. Davin Purnama,1,2021-09-21 10:22:13,"Cannot fill the birth date, so it can't create a qr code.."
Novelina Laheba,4,2021-09-23 06:10:09,This apps is getting better and user friendly
Hugo William,3,2021-10-01 00:59:26,Need permission to my location all the time...
Walter Jeuken,2,2021-09-25 17:27:19,This app is only good for indonesian residece.
Nahhtaf,1,2021-09-16 02:46:06,Bad bad bad .. me and my mom has vacsin covid19 but in this app the sertificate is nothing yet until now
Arm Nrm,4,2021-09-26 10:45:13,this application is easy to apply
Faiq Wu,1,2021-10-04 19:41:39,Terrible apps! Pls hire better team!
Dwi Fajarwati Sungkono,1,2021-10-12 06:28:18,Can't open the app
Banteng Pringgodani,1,2021-09-19 02:20:08,Scan qr code nya tidak berfungsi/error 😅
chicken,3,2021-10-12 04:39:07,bardcode scan has worked properly
18 - 097 S. Karunanathan,1,2021-10-05 01:49:54,Too much errors
"R. Hendrarpo Miarno Basukiwibowo, S.E.",5,2021-10-12 18:15:53,Bravo for this great awesome idea
Vinci Tan,1,2021-09-15 07:45:07,Cannot set the date of birt
asa sudiasa,5,2021-10-06 23:27:06,Good for the information inside
Galuh Khairurrizal,2,2021-09-15 04:09:18,Imagine being coerced to download an app which have flawed design
aliwan4a redmi,5,2021-09-28 21:09:31,Birth date fix now i can use the app thanks
Nanang S.,5,2021-10-05 02:21:32,"It works, top application"
mohammad fanis,1,2021-09-24 00:37:24,The OTP for login usually came late for me.
Nashaza Aishwardani,2,2021-09-21 06:19:47,i cant even sign in into the app
Indramin Darmadi,2,2021-09-19 07:03:21,"Bloated. Slow. Buggy. Budget bintang lima, kwalitas kaki lima."
irwan fauzi,1,2021-09-17 00:03:48,Bad location mapping
Puguh Saktiono,2,2021-09-15 02:19:47,Always fail in reg process
Bli Made in Bali,1,2021-09-16 01:35:41,Wiwkwik app. Not work
anggriawan dwi nuranto,1,2021-09-16 06:25:17,Error update profil
Jonathan Hendra,1,2021-10-06 00:50:49,Errrorrrr. Habis daftar tidak bisa log in.
Isa Lec,1,2021-09-18 12:15:38,Does not find my email or my phone number although used to register
mbak nila aja,1,2021-09-23 11:29:36,can't complete update
Zain Abidin,1,2021-09-16 00:39:33,Simply doesn't work 😔
Dherina Halimatussadiyah,2,2021-09-24 01:14:37,I've vaccinated and i still don't get the vaccine certificate on my account. please fix this!
Ignatius Benedict,1,2021-10-03 12:22:53,"After check in, I can't check out. Will it be stuck forever there?"
karyudi channel,1,2021-10-05 03:08:30,"Trouble trus loading trus ,ribet"
Hans Montolalu,1,2021-10-04 06:35:32,"I have done vacinated but on pedulilindungi still red code, very dissapointing"
Agustian Ags,3,2021-10-07 09:41:11,Very hard to fill date of birth
Alda Laily,3,2021-09-20 16:49:46,I cant even add my birth date on the app
Abdul Mongid,5,2021-10-07 04:40:54,Very easy to use
Widya Utami,1,2021-09-19 11:19:02,HOW CAN I GET MY OLD APP BACK?MEMALUKAN!SETELAH DI UPDATE TIDAK BS LOG IN!
Nareshwari-Rayi 3 Utsman-1 Ali,3,2021-09-26 03:45:35,Difficult to access
Jamal Fajar Hardy,2,2021-10-01 09:17:04,This apps drain my battery so rapidly
Irawanperwanda Rofiq,1,2021-09-15 03:00:28,I can not update my photo in profil
Achyar Arfan,3,2021-09-30 09:48:07,no easy to use
yang sopiana,1,2021-10-06 20:07:16,Sms not sent for OTP Verification
EtharViolo,1,2021-09-16 13:32:31,can't even allow me to login the app
DSP 44,3,2021-10-07 03:26:06,Can't enter date of birth on this application.
Farid Zakaria,1,2021-10-02 23:43:34,All the time location permission? Really?
Calvin Liu,3,2021-09-18 07:36:33,"Not well done, some still unsmooth"
A Google user,5,2021-10-01 02:23:29,"I can't found my certificate, even i still give 5 stars coz i love you Indonesia"
Sylvia Banse,4,2021-09-15 04:55:06,I have to update this apps before going out from home
Ani Kusniah,1,2021-09-18 12:40:07,I can't open the application just don't know why?
Wahyudi Sukemi,5,2021-09-16 00:56:04,"First time, I don't how to use and how to go. But now is so easy."
Lychee Craft,1,2021-09-28 13:56:43,The name status is different with name sertifikat
Harry Harta Moro,1,2021-09-22 12:38:44,Why has to be logged in every mall entrance.
Denna Medhina Andhini,1,2021-09-27 14:25:42,"Gagal check in, loading terus"
SultioBoB,1,2021-09-16 12:00:41,"Still broken btw, what's the point of being vaccinated if I still can't go anywhere?"
Rifky Adam,1,2021-09-30 02:44:16,I can't even register. Please fix that. Thank you
Achmad Saiful Sjah,5,2021-09-15 04:52:25,The information is very good
Kilyasy Olivia,1,2021-09-25 08:58:22,"matiin always ask for location jir, cukup pake ask when use aja"
Jo Suherman,4,2021-10-04 04:12:56,Difficult to log in
Fasnan Wismara Agni,5,2021-10-10 14:10:19,"As long as I use this apps, everything is okay"
Handono Prawiro,4,2021-09-26 01:33:45,Easy to use on the go
ErriC IsnainI MiftaH,1,2021-09-17 06:39:53,"they can't fix my problem, for someone using my NIK and turn me to have 3 certificate with the fact I only got my for my first vaccine"
Adam Maulana Sidik,2,2021-09-19 23:59:22,Slow response apps
Rizki Fathoni,1,2021-09-26 01:53:40,I can't see my certificate though the app said that I've got my first dose and actually i did get the first dose
yudhi will,1,2021-09-24 00:40:08,too much error
raihannafi,1,2021-09-15 08:04:51,why i can't open my account? in web i have no problem with my account
reza rivani,1,2021-10-02 20:14:12,"Oh my god, is only bloatware, not such important thing to help society"
Rychan K. Kansil,5,2021-09-15 05:38:53,Outstanding this aplication very usefull
Pascal Anantawirya,1,2021-09-30 04:08:29,Why this app doesn't work in my mobile phone
Fadhilah Rifqi,5,2021-10-09 08:53:42,this app is so great!! i already vaccine twice
Nate River,2,2021-10-11 02:49:21,So annoying notification
anthony gerald,2,2021-09-26 13:23:39,For WA cannot be used. Can it be reviewed
Ricky Suwirya,1,2021-10-06 06:10:57,My dad's certificate is not there. There was a typo in my mom Certificate
Dr. Ari Syam,5,2021-09-22 03:13:05,I like and support this application..
chyy cha,5,2021-10-10 11:51:42,"Thank you, my data is correct."
Faizal Abu Fadil,2,2021-09-28 11:54:30,Crashes when filling date of my travelling details on ehac provided
Eko Satrio Hutomo,1,2021-09-27 06:36:15,Boros baterai karena harus keep on GPS.
app wajib,1,2021-09-17 13:44:02,"2 month after second vacsine, certificate cannot show."
johan kristanto,1,2021-09-21 09:50:54,Drain battery.. . Please upgrade apps..
Reza M,1,2021-09-30 23:42:57,There's a bug when filling a date of birth
Farhan Fadhlurrahman Setyahernadi,2,2021-10-10 11:27:11,Cannot marshal response payload
Jaya kusuma,2,2021-09-16 22:05:19,can't access people who just arrived in Indonesia but have been vaccinated abroad
Arief HD,1,2021-09-16 12:13:27,bad performance apps
Fanny Mohammad Fahruddin,1,2021-09-23 10:53:04,it's a battery killer app that's all I need to say
Indra Jaya,1,2021-09-26 12:16:53,Full of bugs...
Wayan Mahendra,1,2021-09-22 15:17:57,Spying you everywhere that in more country Its privacy
Fanny,1,2021-09-22 20:10:38,location all the time? nice one
AmandaTjan,1,2021-10-04 06:08:01,"can't complete my profile, useless."
Degus Sandikayana,1,2021-09-24 12:05:16,Login is very hard
Muhammad Agung Khairullah,5,2021-09-18 07:40:44,"This app are comfortable, very useful"
Zuhud Rahmat Al-huda,1,2021-10-11 03:53:47,Cannot marshal response payload
Annisa Rahmadizki,1,2021-09-26 10:11:36,Input ddmmyy masih mengalami kendala.. Option thn sebaiknya type scrol.tks
Bambang Sugiharto,1,2021-10-09 01:11:36,Complicated & takes times...
Eza Ammar,1,2021-09-15 05:12:28,Invalid signature trosssssss
exgangster 843,1,2021-10-01 06:11:12,"It always said ""pendaftaran gagal"""
adi djedoma,5,2021-10-08 13:43:43,this user friendly applicafion...great!
Jessica Jeje,3,2021-09-27 04:24:32,Can we change our number fot this application? And how about the certificate?
myta damayanti,1,2021-09-15 13:04:26,Bad application. Give wrong data of someone
Cahya Nurrohman,1,2021-10-11 12:37:43,I can check in but the app checks out itself
Agung Semara Putra,1,2021-10-06 08:31:48,"Useless, just like the oligarch ruled incompetent, profit oriented goverment"
Prabu Setyaji,1,2021-10-04 16:17:17,i can't even complete my profile verification
Endial Fil Ardh,1,2021-09-29 08:22:01,Peduli lindungi is draining battery
Wahyuning Slamet,1,2021-09-15 02:34:46,app isnt working
Benedict Jeremy,5,2021-09-18 13:42:41,"After 3 updates, I can finally see my vaccination certificate. Aight 👍🏽"
Aand Saputra,1,2021-09-29 11:16:50,Always need verification locataion
isnan rahmanto,1,2021-09-18 10:43:16,Not fair for always connect even we are not used it
Yolandra Salsabila,1,2021-10-03 05:28:15,Status not updated
Reno Hidayat,1,2021-10-04 00:59:53,Internal server error terus apps sekelas bikinan pemerintah 👏👏
Nisa Faraha,2,2021-09-28 04:44:37,Not good always error
Muhammad Alfattah,1,2021-10-06 01:44:32,Internal Server Error.
Hairuddin Halim,5,2021-09-24 01:58:47,Accurate and helpfull
dhika prabowo,3,2021-09-17 05:42:41,Always problem location
Daniel Wawone,1,2021-09-20 23:49:58,Cannot update my birthdate. And anything in my profile.
Radiva Dilla,1,2021-10-02 06:14:51,I couldn't register with phone number neither my email account. How should I do?
Rocky Hatibie,1,2021-09-19 11:52:53,Harus share location all the time? Harusnya tidak perlu
Asya Sukada,1,2021-09-23 06:26:25,does not show my vaccine certification however it does show that i have done my 2nd dose already
R Giri Wurjandaru,3,2021-09-19 11:46:49,"good, but often trouble"
Bagas Maulana,5,2021-10-09 16:48:33,App ini sangat membantu is the best pokoknya
F F2,1,2021-09-25 05:18:57,Uninstall. Gakk jelass...sempurnain dulu baru publish. Parahh
Aris Kurniawan,1,2021-09-15 08:55:39,No respon about OTP for sign in....
Febriannus Imas,1,2021-09-19 23:02:17,"Unnecessary apps, forced to use it"
Zaff Studio,1,2021-09-20 23:00:35,Do not work properly
Maftuh Ahnann,1,2021-09-30 04:57:16,I can't register to the app
Pecinta Kopi,5,2021-09-25 09:40:55,Effortles to know what would be the next information about the situation of pandemic and vaccination
M. Rifki Ilmi,2,2021-09-30 13:48:38,Please solve the BuGS as FAST as you can
HK 14,1,2021-10-04 06:22:06,"Aplikasi aneh, error mulu"
INDRA RAMADHONI,1,2021-10-04 22:52:02,"Violate human right, GPS always on to track person position"
Stefani Fu,3,2021-09-18 13:33:06,"Don't receive my 2nd certificate yet, my 2nd jab was on 16 Aug 21."
Bambang Widarsono,1,2021-09-20 01:44:28,I cannot input my birtday.. always annulled..
muhammad anshari,2,2021-10-09 12:56:13,Easily server down even goverment made this aps
Syukran W Makmun,1,2021-10-03 13:33:29,This apps is useless since it is developed by a corrupt government as a tools to spy their civilians activities to encourage Chinese government occupy this country
Naturecall Akbar,1,2021-09-19 12:44:07,Even a **** app have better performances than this app
Martino Suba,1,2021-09-24 05:08:50,Not factional when i update this app
Alfi Yosrianto,2,2021-09-17 22:36:58,Masih suka ngbug and nglag...ah yu no lah
Andrew K,1,2021-10-13 13:29:35,"Didnt know the real REASON of why we're using this. lol, what a joke."
Frendy Lumban Batu,1,2021-09-14 13:33:12,It drains my cellphone battery.
Erwin Sanz,1,2021-10-11 01:58:20,Always asking for location
Daniel Hizqi,1,2021-09-15 10:32:30,use location all the time.. dipikir hape kita powerbank kali
Welly Marendra,2,2021-10-05 11:49:35,Sering bermasalah kalo sqan QR..always bermasalah
Leonard Wowor,5,2021-09-20 06:56:43,Good and usefull Apps
pieter tjoegito,1,2021-09-30 06:02:45,Cant scan 2 times 👍
galih aditya,1,2021-09-14 10:50:53,Slow and stupid app...
Diandra Naoki,1,2021-09-30 11:19:33,Not Efficient Apps
Juni Rianto,5,2021-09-19 22:05:03,easy to use
Ahmad Jauhari,1,2021-09-19 11:14:02,"Abis update malah dibilang user not found, database di drop boss?"
R I Z A,3,2021-09-15 04:51:49,scan qr code tidak berfungsi
Gebie Hemsley,5,2021-10-11 07:51:26,This application good and practical
iwan setiawan,3,2021-10-04 14:33:16,Input data error terus
G Pearl,5,2021-09-16 05:44:28,updated. it works👍
Marchiel Marchiel,1,2021-10-03 04:22:33,Take a long queue for.this app
herna kholil,3,2021-09-23 17:03:28,Lagged and out of date
Boy Anazim,1,2021-09-14 15:38:18,Just only 1 aunthentication can make data go public
Aufar far25,1,2021-10-02 01:09:04,This app to much error when i want used for urgent situation
nct dream ot7,1,2021-10-02 06:17:30,I can't even register or sign up.
Jun Sabildin,1,2021-10-08 02:46:01,"Like another government apps, it's useless app."
Ayra Kinara Fadjari Putri,5,2021-09-23 03:23:25,User friendly app
36_SHATYA NASHSHAR PRATAMA,5,2021-10-06 13:09:27,The best app for indonesia
Suki Awang,1,2021-10-07 14:35:23,Y server damn lembab.....udh brpa kali msh mutar2....hrusnya frendly user... Pls look into this matter ASAP
Victor Tito,1,2021-09-22 03:21:19,Unsafe for user data
Bayu Harsono,1,2021-09-15 05:36:02,Application not working
Muhammad Luthfi,1,2021-09-16 07:01:12,One of the worst app in the world
Zela Birohmatika,1,2021-09-16 04:44:23,It does not work well
enzo's iseng channel,1,2021-10-08 02:10:55,Can not dowload the sertificate
Yoga Hardian,1,2021-10-04 00:11:46,I can't update about my certificate even i email
Dwi Aprilyani,5,2021-10-03 14:58:14,User friendly app
Liam Tan,1,2021-09-27 11:57:24,not helping at all
Northern Bottlenose,1,2021-10-06 23:57:06,government's official app ? no wonder it is garbage
Grea Hapsari,1,2021-09-27 08:46:32,Full of bugs!
Ilham Harits Fadhlillah,1,2021-10-07 01:04:06,"I don't know what to say,... So speechless"
M. Syarif,1,2021-09-19 12:35:52,Lack of privacy. The gov of Indonesia did not responsible if this app hacked.
David Triatmaja,1,2021-09-24 11:00:13,Force me to use location all time
13 Federico Ignatius,2,2021-09-29 15:15:49,"National Scale Government app , but with terrible server , mending pelihara kambing sono 🗿🗿"
Nagasaki Motor,1,2021-10-12 11:34:20,It not sophisticated. Bad apps
Tomi Hendrawan,5,2021-10-06 08:50:56,Helpful application for keeping my activities
Moch Adam Fathan Karim A 126,1,2021-09-15 11:13:13,too much bug
Nicholas D.S,1,2021-10-09 14:13:35,This is probably the most buggiest app I've ever used
Fahmi Rochmansyah,2,2021-09-20 03:58:44,"force close, again and again"
Robby Muhammad Nasution,1,2021-10-02 03:34:25,Completely useless app
Vincentius KendrickL,2,2021-09-25 03:09:40,Can't take the vaccine sertificate with the same NIK as i was in vaccines progam.
Wien Hermantio,3,2021-09-15 14:00:00,Gradually getting better.
andi sung,1,2021-09-20 00:37:03,Force closed terus.
Zenobius Oktavianus,1,2021-10-11 03:24:53,E-certificite doesn't show
Deddy Helmia Gunawan,1,2021-09-28 04:49:30,Berulang input data
Kiky Lubis,1,2021-09-15 04:57:13,Ga tetima otp email & hp. Gps bikin habis batre
Sinto Purno,5,2021-10-08 09:50:12,The of apk amazing thank you
Sela Pebriyanti,1,2021-09-28 01:26:43,Can't open this app
MK Indo Group,1,2021-09-16 02:31:40,Its not user friendly
ian mashar,1,2021-10-07 04:13:19,Slow . Very slow
Arnold's Pride,5,2021-09-15 15:13:24,Nice....it's really help
Heri Kedirian,1,2021-10-10 18:24:38,Very bad. Like spy.
bang Iqok,2,2021-10-09 04:40:42,Many datas not update
Arya Wibowo,5,2021-09-14 10:58:46,Nice app. Friendly to used.
Xiao Kang,1,2021-09-19 15:17:12,keep asking location though not in used.
Ruri Atmaja,3,2021-10-02 12:53:34,Battery draining app
dekki sandi,3,2021-09-17 08:49:46,I think server for this aplication is bad
Mukhamad Agung H,1,2021-10-11 19:59:29,Setiap bikin ehac close app tiba2
Chai Ling Lum,1,2021-09-25 03:52:45,Keep upgrading the app
Admin Millioner Academy,1,2021-09-29 22:57:45,Date setting is so bad in other android divice
yos win,1,2021-09-22 02:48:07,Can't trace my vaccine certificate even has been take 2 doses of vaccinated
Hfza Mjdd,1,2021-09-24 02:37:05,this app want to track my gps 24/7
Telo Godhog,1,2021-10-10 06:41:42,Stupid application... And stupid ruler maker... Vaccine does not guarantee that you free from covid... Then what the use of this apps? Unused!!! Totally UNUSED !!!
Febri Andri Yanto,1,2021-09-24 04:18:18,Pleasee fix this app and don't delete my review
Frontier,1,2021-10-01 09:27:14,crash cant register
